city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
Central Park privet pedicab delux tour -1 hour,"Our pedicab drivers are passionate about the destination and well-versed in its history, culture, and hidden gems. They’ll provide you with insightful commentary and ensure you have an engaging and informative experience.We aim to create moments that will stay with you long after the tour ends and enjoy the private guided tour of Central Park. Let our Guides take you true and show you the best and most important parts of the park Your tour will includes three different stops at Bethesda fountain, Cherry hill, Strawberry Fields.Enough time so you can take a walk and take beautiful pictures.",[],"['Pedicab Tour', 'Taking Photos']",['Hotel pickup'],[],[],"Departure point1413 6th Ave, 6th Ave 1413, Manhattan, New York, 100196 avenue and 58 street by the STARBUCKS"
Full Day Private Walking Tour in New York from New York hotels,"Experience our Private Full Day Shore Excursion!Embark on a serene journey through the picturesque landscapes of New York as you make your way to the heart of the city. Upon your arrival, meet your seasoned tour guide, ready to lead you on an enchanting tour of New York city.Discover the awe-inspiring allure of the Central Park, marvel at the grandeur of Brooklyn Bridge, and capture iconic moments at landmarks like the Wall Street, St Patrick's Cathedral, Fifth Avenue, and many more.Indulge in delectable local cuisine and explore a myriad of unique souvenirs to commemorate your journey.We'll greet you directly at the hotel lobby and ensure you return with ample time to relax and relish your day.Leave the details to us as we escort you on an extraordinary adventure, crafting memories that will stand the test of time1",[],"['Private transportation', 'Pick up and drop off at the port', 'Professional local tour guide in New York', 'Modern, air-conditioned private transportation', 'All Fees and Taxes', '2 hours of free time for shopping and dining']",['Entrance fees (none will be required)'],[],[],"Departure pointNew York Hotels, Unit #10035, W 31st St 35, Manhattan, New York, 10001The driver will meet you in the hotel lobby with your name sign. Please inform about your pick up details in advance."
Full Day Private Shore Tour in New York from New York hotels,"Experience our Private Full Day Shore Excursion!Embark on a serene journey through the picturesque landscapes of New York as you make your way to the heart of the city. Upon your arrival, meet your seasoned tour guide, ready to lead you on an enchanting tour of New York city.Discover the awe-inspiring allure of the Central Park, marvel at the grandeur of Brooklyn Bridge, and capture iconic moments at landmarks like the Wall Street, St Patrick's Cathedral, Fifth Avenue, and many more.Indulge in delectable local cuisine and explore a myriad of unique souvenirs to commemorate your journey.We'll greet you directly at the hotel lobby and ensure you return with ample time to relax and relish your day.Leave the details to us as we escort you on an extraordinary adventure, crafting memories that will stand the test of time1",[],"['Private transportation', 'Pick up and drop off at the hotel lobby', '1 hour of free time for shopping and dining', 'Professional local tour guide in New York', 'Modern, air-conditioned private transportation', 'All Fees and Taxes']",['Entrance fees (none will be required)'],[],[],"Departure pointNew York Hotels, Unit #10035, W 31st St 35, Manhattan, New York, 10001The driver will meet you in the hotel lobby with your name sign. Please inform about your pick up details in advance."
Art Deco and Architecture Tour in New York City with Expert Guide,"Midtown Manhattan is home to many iconic New York landmarks, and during this masterpiece-packed walking tour, you can look forward to discovering most of them in the span of just a few hours. See the top attractions and learn the stories behind these great sights, standing everywhere—Manhattan wouldn’t let you get bored with its atmosphere of greatness. Enormous buildings empress you each time you see them, so don’t lose a chance to meet them all.",[],"['Iconic places for photoshoot', 'Must see and off the beaten path', 'All Fees and Taxes', 'Friendly local guide']","['Food and drinks', 'Gratuities (optional)']",[],[],"Departure point350 5th Ave, 5th Ave 350, Manhattan, New York, 10118Meet your guide in front of ESB"
Upper Central Park Running Tour,"I am an avid runner who has been hitting the pavement and paths of Central Park for the past two decades. It is my favorite part of the city and my backyard. I wouldn't want to live here without it. Join me on my running tour and I will show you some of the most beautiful, magical, and restorative parts of the park that most visitors to the city don't get to see. Learn some history, say hello to where the neighborhood of Harlem begins, enjoy some nature, see some waterfalls. Come and explore the top of the park with me!",[],['Bottled water'],,[],[],"Departure pointCentral Park West/W 82 St, Manhattan, New York, 10024We will meet at the corner of 82nd Street and Central Park West on the park side of the street. Look for the guide wearing a bright yellow shirt."
Private Photo Session in New York,"This activity helps developed high quality photos specifically in some occasions like birthdays, weddings and some special celebrations. We can offer different angles with consistency. We believe that good photos is a collection of happy memories.",[],"['Lights and strobes', 'All Fees and Taxes']",,[],[],"Departure pointManhattan Time Service, #400, W 46th St 2, Manhattan, New York, 10036Meeting up at Times Square"
New York Private Photo Tour of Brooklyn,"Embrace a truly special and memorable experience with a phototour in NYCEffortlessly capture memories with an easy and stress-free professional photoshoot Benefit from a professional photographer's trained eye to ensure stunning images with the best angles and poses.Tailor your photoshoot to fit your needs: couples, families, solo adventurers, everything is possibleReceive your beautifully edited digital photos within 48 hours.",[],"['Private photoshoot', 'Digital high-resolution, professionally edited pictures']",,[],[],"Departure point214 Hicks St, Hicks St 214, Brooklyn, Brooklyn Heights, NY, 11201Meet your photographer Outside Dellarocco's Brick Oven Pizza. You can easily spot them by looking for someone wearing a purple hat and/or lanyard and carrying a camera."
Brooklyn Photo Tours,"BROOKLYN THROUGH A LENS Exclusive unique private photography walking tours offered by Brooklyn native and award winning fine art photographer LESLIE ARLETTE BOYCE.“As I walk through the neighborhood where I grew up and still reside, I am amazed by the flood of visitors, map in hand, camera in another- uncertain of their surroundings, seeking that ‘perfect photograph’ or series of distinct photographs as they venture into now legendary Brooklyn Heights and Dumbo.  As a Brooklyn native and professional fine art photographer, Let me help you discover the quirks, corners, beauty and the interplay with light in this unique part of the five boroughs.DSLR cameras are strongly suggested for this walking tour. If you prefer film or your phone, then by all means carry the tool of choice. Areas of focus for these tours will be Brooklyn Heights and D.U.M.B.O.",[],"['Local guide', 'Private tour', 'Pickup and drop-off from designated meeting points', 'Tour escort/host', 'Professional photographer guide']","['Alcoholic drinks (available to purchase)', 'Hotel pickup /drop-off', 'Transportation to/from attractions', 'Gratuities', 'Lunch', 'Food and drinks, other than the value added offers specified in your guidebook']",[],[],"Departure pointHigh St, Brooklyn, Downtown Brooklyn, NY, 11201Cadman Plaza West, across the street from the park."
National Geographic Day Tour: Tastes and Tales from Brooklyns Little Caribbean,"Not far from Central Brooklyn’s famous Prospect Park, there’s a neighbourhood where you can feel the pulse of the Caribbean without leaving the city. Today, the area of Flatbush known as ‘Little Caribbean’ is home to the largest community of Caribbean descendants outside the West Indies.In the mid-20th century, Afro-Caribbean immigrants arrived in the U.S. seeking economic opportunities, with New York City being a top destination. Many who arrived from the Caribbean settled in and around Flatbush in Brooklyn, and today the community spirit is strong.Your National Geographic-trained guide, living and working in Little Caribbean, will lead you on a walking tour of the area to visit a variety of community hubs, absorbing the culture, listening to music, and tasting your way around some of the typical treats of the Caribbean.Begin with a visit to a local Grenadian grocery store for fresh coconut water – bring it with you to add a splash of Caribbean rum at your next stop. Next, visit an African record store that has been in business since the 1970s, selling musical treasures from around the globe.Your taste buds will be in for a treat as you savour spicy Jamaican patties and jerk chicken, finishing with treats from a beloved local bakery thats been a neighborhood staple for over half a century. Meet the family who has owned it for three generations and hear their stories - the perfect ending to a day of discoveries in Brooklyns own Caribbean oasis.","['Explore Brooklyn’s “Little Caribbean” and meet with locals who have shaped this immigrant community, home to the largest population with Caribbean ancestry outside the West Indies', 'Your tour will be led by a local who lives and works in Little Caribbean, who will introduce you to local business owners to hear their personal and family stories', 'Visit a local Grenadian grocery store for fresh coconut water, a local purveyor of Caribbean rum and an African record store that has been in business since the 1970s, for a glimpse of how people live and work in this neighborhood', 'Your taste buds will be in for a treat as you savor spicy Jamaican patties and jerk chicken, finishing with treats from a beloved local bakery while hearing stories from the family owners']","['Guided walking tour', 'Food tasting']",,[],[],"National Geographic Day Tour: Tastes and Tales from Brooklyns Little Caribbean883 Flatbush Ave, Brooklyn, New York, NYPlease be at the meeting point at least 15 minutes in advance."
Day trip to Washington from New York,"Visit Washington, D.C. from Time Square NYC on a day trip, where we will visit some of the most emblematic Memorials and monuments of the District of Columbia. Starting at Arlington National Cemetery in Virginia, The White House, Lincoln Memorial, The Capitol, FBI Building, The National Archives among other places. With plenty of free time to enjoy the National Air and Space Museum. With a guided bus tour, simply sit back, relax and enjoy the ride.",[],"['WiFi on board', 'Air-conditioned vehicle']","['Food and Drinks', 'Restroom on board']",[],[''],"Departure pointThe Manhattan at Times Square Hotel, 7th Ave 790, Manhattan, New York, 10019pick up starts at 5:50 AM"
Ghosts of New York Walking Tour,"Experience the spine-tingling thrills of a night traversing the Big Apple’s spookier streets on a tour of New York's haunted streets. During your fully narrated tour, discover the rich history of West Village and Greenwich Village haunts, including Hangman’s Tree and the New York residence where Edgar Allan Poe penned and published some of his most famous works. You may even encounter local ghosts gliding through their favorite former haunts! Full narration provides the historical context for the city’s scary stories.",[],['Local guide'],"['Hotel pickup and drop-off', 'Gratuities']",[],[],"Departure pointWashington Square Arch, Washington Square N, Manhattan, New York, 10012Meet underneath the Washington Square Arch in Washington Square Park, located at the intersection of Washington Square North and 5th Avenue, close to the statue of President George Washington."
Spanish Ghost Tour of Greenwich Village,"Dig up Manhattan's spine-chilling past on this 2-hour walking tour of Greenwich Village, known as one of the city's most haunted neighborhoods. Together with a guide, you'll head to some of the village's spookiest spots, including Washington Square Park and NYU's Brown Building, and hear tales of lost children, celebrity ghosts, and park-dwelling phantoms.",[],['Guide'],['Gratuities'],[],[],"Departure pointWaverly Diner, 6th Ave 385, Manhattan, New York, 10014Your guide will meet you in front of the diner. They will be holding a white flag."
Wonderful 4-Hour Tour through the Streets of New York,"The upper and lower Manhattan tour is one of the most recommended tours in New York. The main attraction of our tour is the combination of tours by bus and on foot, since it allows us to have a global vision of the city from the comfort of our bus, but also to explore on foot some of the most emblematic places such as Wall Street, the station Oculus, the 911 Memorial and Battery Park.The broad geographic coverage of our tour is second to none. Our tour allows you to discover the true essence of New York, visiting both the lively Lower Manhattan and the calm and culturally rich Upper Manhattan. If Spanish is your mother tongue, you will be able to enjoy the explanations of an expert guide in your own language, which will undoubtedly enrich your experience and allow you to better appreciate the rich history and culture of the sites we will visit.",[],['Mascara and Wipes'],['Lunch'],[],[],"Departure pointHotel Riu Plaza New York Times Square, W 46th St 305, Manhattan, New York, 10036On 8th Avenue at 8:10 AM - Guide will pass by the hotel"
"Contrasts of New York - Bronx, Queens and Brooklyn Arcol Travel","We made our Contrasts de Nueva York tour in the morning (approx: 4 hours) so that you, in the afternoon, can walk the Brooklyn Bridge, DUMBO and other attractions in the area. This is one of the most complete services we have for you to get to know New York. It is a didactic and impressive journey, where we will meet the most representative people and places of each place. Remember that we go to the three counties (Bronx, Queens, and Brooklyn), outside the island, which is difficult to visit on your own. Only in Spanish.",[],"['GST (Goods and Services Tax)', 'Air-conditioned vehicle']",['Snacks'],[],[],"Departure pointHotel Riu Plaza New York Times Square, W 46th St 305, Manhattan, New York, 10036On the chosen day, our guide will go through the door of the hotel mentioning your name. Remember 8 am."
Haunted Broadway Walking Tour,Highlights of this 2-hour Haunted Broadway walking tour include:-Learn about Broadway/Vaudeville stars (both in the earthly realm and beyond!)-Learn dance moves from Rocky Horror’s Time Warp or Michael Jackson’s legendary Thriller dance!-Get a chance to be a Broadway STAR by singing along to your favorite Broadway musicals with your tour guide!-During the booking process you can purchase an additional add on to have a palm/energy or tarot reading done by Gypsy Amada.So are YOU spooked? After this tour you sure will be!,[],"['Local guide', 'Professional guide', 'Tour escort/host']","['Gratuities', 'Souvenir photos (available to purchase)', 'Food and drinks', 'Hotel pickup and drop-off']",[],[],"Departure point266 W 39th St, W 39th St 266, Manhattan, New York, 10018Outside the Drama Book Shop 
266 W 39th St, New York, NY 10018"
Harlem Soul Food and Jazz Evening Private Tour,"This guided private tour will take you through the home of jazz and bebop in Harlem. You'll visit iconic spots such as the Cotton Club, the Savoy Ballroom and the world-famous Apollo Theater. You'll have a chance to try authentic soul food at the legendary Sylvia's restaurant. You'll visit one of Harlem's hottest jazz clubs where you can relive the roaring 1920s along with two complimentary drinks. On Mondays, you'll be able to swing dance to the beat of a twelve-piece band with a free dance lesson. On Thursdays, you'll be able to enjoy a jazz or R&B band jam session with the locals.",[],"['Guide services', 'Soul food dinner', 'Two complimentary drinks at jazz club', 'Subway ticket and transportation in a minivan', 'Jazz club cover charge']","['Tips', 'Drinks during dinner', 'Hotel pickup and drop-off']",['Suitable for all fitness levels'],"['Please arrive at least 15 minutes before the activity starts.', 'Please arrive at least 15 minutes before the activity starts.']","Departure point8th Ave 690, Manhattan, New York, NY, 10036Please redeem your ticket at the listed address up to 24 hours before the tour starts."
Tour Noir: A Dame To Guide For,"Come join New York City's only sightseeing theater experience. You'll experience the history and culture of famous downtown Manhattan sights (Wall Street, the Woolworth Building, City Hall, Chinatown, Little Italy) while watching an original film noir comedy play. The two hour tour (available for up to 15 people) begins in Hanover Square as humble guide, Jason Thompson, attempts to lead a tour, when his ex-fiance unexpectedly barges in and tasks the group to find her missing husband. Every tour is unique and every group is immersed in a film noir thriller, filled with witty bantering and bickering as they help Jason and his alluring femme fatale solve clues and navigate the winding streets of downtown Manhattan.",[],['Tour Noir Program'],"['Transportation to/from attractions', 'Gratuities']",[],[],"Departure pointHanover Square, Hanover Square, Manhattan, New YorkWe will be meeting at Hanover Square - near the India House. We will be in costume so look for a man in a grey suit and a fedora or a beautiful dame in a sultry femme fatale get up."
Miami: Party Nightclub Cruise with Live DJ & Open Bar,"Enjoy an all-inclusive night out on the water on a 2-level yacht departing from Bayside Marketplace. Cruise around Biscayne Bay as you and your friends enjoy complimentary snacks and unlimited drinks while taking in unbeatable views of the city skyline and homes of the rich and famous.Take fun selfies as you dance the night away at this non-stop party featuring a live DJ and MC who plays the hottest tunes including Hop-Hop, R&B, Reggae, and Latin Beats. There is even a fun dance contest and champagne showers.Make the most of your experience at the open bar featuring whiskey, rum, tequila, vodka, cognac, wine, beer, fruit juices, and sodas. As you board there will also be complimentary finger foods such as wings, hot dogs, and chips.This floating nightclub visits many of the highlights of Miami including South Beach, Miami Beach, Fisher Island, Brickell, Bayside Marketplace, the Port of Miami, and the Downtown Miami Skyline.",[],"['Open Bar', 'See the fabulous homes of the rich and famous as you cruise Biscayne Bay', 'Party with new and old friends at an open bar serving spirits, wine, and more', 'Dance the night away with the hottest tunes as you take in the Miami Skyline', 'Live DJ']",['Hotel pickup and drop-off'],[],[],"Departure pointBayside Marina, 2805 Cross Island Pkwy, Bayside New York, 11360-2200"
Central Park Pedicab Tour Tavern on The Green Pickup - GIFT CARD,"Central Park occupies 843 acres of green space, with 58 miles of walking paths. Private Pedicab Tour is the BEST & FUN way to see whole Central Park with your own personal driver.",[],"['No Returns / No Refunds on VIP Gift Cards', 'MUSIC & Taking Movie Spot Photos', 'Additional Payments by Cash, Credit Card or Apple Pay', 'VIP Gift Card is redeemable in any Tour packages', 'Warm Cozy Blankets', 'Fully-Guided & Entertaining VIP Tours', 'Tour Packages: 30 Min, 45 Min, 60 Min or 2 Hours']","['Hotel pickup and drop-off', 'Tips / Gratuities are Optional for the Driver']",[],[],"Departure point330 West Dr, West Dr 330, Manhattan, New York, 10023TAVERN ON THE GREEN RESTAURANT 

BY THE CIRCLE"
Wednesday Morning Walking Tour of Harlem,"On this guided Wednesday morning tour of Harlem, you’ll gain an insight into one of New York City’s most ethnically and culturally diverse neighbourhoods.  While navigating Harlem’s residential areas and historical streets, you’ll see cultural attractions such as the Apollo Theater and the Schomburg Center for Research in Black Culture, a research library dedicated to the experiences of people of African descent. You'll also have the chance to watch a gospel service. Your guide will tell you about the history, symbolism and significance of Harlem’s landmarks during the tour.",[],"['Walking tour', 'Guide services', 'Gospel service']","['Tips', 'Food and drinks (optional)']",['Suitable for all fitness levels'],"['English (US)GermanFrenchItalianSpanish', 'English (US)', 'English (US)', 'German', 'German', 'French', 'French', 'Italian', 'Italian', 'Spanish', 'Spanish']","Departure point8th Ave 690, Manhattan, New York, NY, 10036Make your way to the meeting point near Times Square on Eighth Avenue."
Central Park Movie Tour on Horse Carriage,"The NYC horse-drawn carriage is the most romantic tour for couples and a joy ride for families/friends. You will feel transported to yesteryear as you step into the old fashioned regal carriage. Listening to the clip clop of the horses shoes you will forget you are riding through one of the busiest city in the world! All you need to do is sit back and relax. You can learn about the history of the park while taking in the picturesque surroundings. Your journey around CP will include exploring many bridges, fountains, statues and CP landmarks. If you are interested in learning about the history of the park and/or all sorts of related trivia, let your driver be your guide. He/she is happy to share their extensive knowledge about CP and NYC and your driver can also point out the many famous movie locations. Whether you want a private, romantic ride with your partner or a guided tour with family or friends, a CP horse-drawn carriage tour is a must see NYC attraction!",[],['All Fees and Taxes'],['Tips'],[],[],"Departure point200 Central Park S, Central Park S 200, Manhattan, New York, 10019It is the corner of 7th avenue and 59th street."
Central Park Pedicab Tours,"Central Park Pedicab Tours, will take you in a sightseeing ride experience to discover the park from its early origins to the present day. We are exclusively dedicated to Central Park Tours by pedicabs and Central Park Tours on Pedicabs are our specialty!",[],"['Entry / Admission - Central Park', 'Professional Guide', 'Private Pedicab Tour', 'Paparazzi Photog.']",['Gratuities / Tips'],[],[],"Departure point1411 6th Ave, 6th Ave 1411, Manhattan, New York, 10019Near: 58th St & 6th Avenue (by Starbucks Coffee Shop)"
Central Park Pedicab Tour,"Pedicabs are the best way to see Central park, it has revolutionized the way tourists explore. Designed to transport up to three passengers, it gives the ability to hop on & hop off for photos. The driver is also your tour guide who will introduce you to the history of the park, show you movie scene locations, homes of the wealthiest and most famous American families and architecture design in and around the park.",[],['All Fees and Taxes'],,[],[],"Departure point1794 Broadway, Broadway 1794, Manhattan, New York, 10019Outside Magnolia Bakery cafe"
Bike Rental NYC Central Park,"In this one hour rental, you get to see very important highlights of Central Park such as Columbus Circle, the Wollman Ice Skating Rink, Chess and Checkers House, Carousel, Dairy, Literary Walk, Summer Stage, Boat House, Bethesda Terrace Fountain, Cherry Hill, the Lake, Strawberry Fields/Imagine Mosaic, Dakota Building, Tavern on the Green, Sheep Meadow, etc..",[],['Bike rental for 1 hour'],['Guide'],[],[],"Departure point240 W 56th St, W 56th St 240, Manhattan, New York, 10019Cycle Park NYC Central Park Bike Rentals"
Hell's Kitchen Dessert Tour New York by Like A Local Tours,"Discover the best desserts in New York City’s busiest neighborhood .Learn about the neighborhood’s rough and tumble past, as well as the city’s unique culinary history while tasting some of the best sweets that the Big Apple has to offer! Tastings include Broadway's favorite cookie, traditional American pies, artisan bread, cupcakes from a Cupcake Wars winner, and the best Greek pastries you can find in New York City! You’ll leave with a full stomach and newfound knowledge of NYC.We will head into the heart of Hell’s Kitchen, where you can debate how Hell’s Kitchen got its name. Later, we'll move north on 9th avenue, a culinary mecca where you’ll learn about the avenue’s culinary and historical significance. By the end of this tour we know you’ll “find heaven in Hell’s Kitchen.” As on all of our tours, our guides dish out culinary and cultural history with some delicious desserts from some of the best bakeries in New York City.",[],"['Expert & licensed tour guide!', 'All food samples']","['Tour guide gratuity', 'Hotel pick-up or drop off']",[],[],"Departure point341 W 43rd St, W 43rd St 341, Manhattan, New York, 10036Meet your guide in front of McCaffrey Park."
9/11 Memorial and Ground Zero Tour by Local Guide,"Welcome to our one-of-a-kind guided tour, where we seamlessly blend the historic heart of finance, Wall Street, with the profound emotional journey of the 9/11 Memorial. Our tour offers a fascinating contrast between the bustling world of Wall Street and the serene atmosphere of the 9/11 Memorial. It's a journey from the soaring heights of capitalism to the depths of human resilience.What makes us truly unique is the personal connections our guides share. They recount their own anecdotes and connections to the events of 9/11, creating a great atmosphere for visitors. This helps to humanize the experience and makes the stories even more relatable.The tour offers a balanced mix of historical facts and emotional storytelling, allowing visitors to truly connect with the events and the people involved. It's not just about sightseeing; it's about experiencing and understanding the resilience of the human spirit.Limited group size ensures an immersive and educational experience.",[],['Professional Licensed Tour Guide'],"['Hotel Pickup/Drop-Off', 'Museum Entry']",[],[],"Departure pointSt. Paul's Chapel, Broadway 209, Manhattan, New York, 10007Meet the Tour Guide at the Front Entrance on Broadway."
New York City Triple Fun Package,"The Triple Fun Package is a great way to see New York for one low price!The Downtown Loop is a great way to explore Lower Manhattan including popular neighborhoods such as the Flatiron District, Union Square, Little Italy, Chinatown, Soho & NoHo, Greenwich Village & the East Village, Chelsea and the Financial District. Wander around Wall St. to see the infamous Stock Exchange and Charging Bull, eat your way through Little Italy and Chinatown then shop till you drop at all the high end or boutique stores SoHo is famous for!Stop and enjoy breathtaking views at One World Observatory - the all-new attraction crowning One World Trade Center, the Western Hemisphere’s tallest building. Riding the Sky Pod elevator, you’ll experience an immersive, floor-to-ceiling time-lapse story of NYC’s 500-year evolution in less than 60 seconds. At Fotografiska immerse yourself in an unexpected mix of world-class art, vibrant cultural programming & music.",[],"['Admission to One World Observatory', 'Recorded narration in 6 languages aboard the bus', 'Admission to Fotografiska NY', 'One-day hop-on hop-off Downtown double decker bus tour']","['Gratuities', 'Hotel pickup and drop-off', 'Food or beverage']",[],[],"Departure pointOne World Observatory, 285 Fulton St, One World Trade Center, New York City New York, 10007-0089"
New York Walking Tour with Private Local Guide,"Dive into the life of New York and see its top sights on this private 5-hour tour. Feel the hustle and bustle of lively streets, explore local life and visit places which everyone dreams about.Start you tour at lively Times Square which is often called “the heart of the world”, walk along the magnificent Broadway – the center of theatric culture. Feel the majesty of one of the greatest office centers in the world named after legendary Rockefeller and smell the flavor of organic coffee roasted in the best coffee places in New York, read the quotes of famous writers on the walls of Public Library, view statues, elegant clock and arches of Grand Central Terminal.Honor the memory of victims of 9/11 tragedy in its 9/11 Memorial and finish your tour in the prosperous Wall Street. Your private guide will give you more ideas what to do after the tour.",[],"['Multiple start times available', 'Must-see attractions and off the beaten path', 'Flexible customizable itinerary', 'Private tour', 'Expert advice where to go and what to do after the tour', 'Iconic places for photo shoot', 'All taxes', 'Friendly local guide']","['Entrance fees (if any, based on your preferences)', 'Food and drinks', 'Gratuities']",[],[],
Private Transfer from Brooklyn to LaGuardia Airport (LGA),"Take the worry out of your departure to LaGuardia Airport (LGA) and pre-book a private transfer to suit your group size (up to 12 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan / minibus.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointBrooklyn, Brooklyn, NYThe driver will meet Guests at the hotel reception or in front of the private address provided"
Central Park Bike Rentals,"Our bikes are of the highest quality in the whole city, high performance hybrid bicycles from the likes of TREK and Giant. A wide array of colors and sizes are available!Prime location- located just a block from the park, you will be on your way immediately after being fitted with your bike!Fun for the whole family! We have children's bikes, tag-alongs, trailers, and baby seats available so everyone can enjoy a ride through the park!Hop on, hop off! You and your party can pick up the bikes and drop them off at any of our 12 locations throughout the city!We have a dedicated response team that can repair or replace any bike, just in case anything goes wrong.",[],"['Map of Central Park', 'Helmet', 'Bike lock', 'Use of bicycle']",,[],[],"Departure point117 W 58th St, W 58th St 117, Manhattan, New York, 10019"
High Line and Chelsea Market 3 Hour Private Tour,"Fantastic views, fabulous food, and incredible architecture await you on this private tour of Manhattan’s Chelsea neighborhood and Meatpacking District!We’ll start with an overview – literally – of Chelsea high above on New York City’s High Line. Atop this former elevated railway, enjoy views of the Hudson River and hear the story of its redevelopment as a park.From here, our New York City walking tour enters the Chelsea Market, known for its diverse culinary offerings. With everything from artisan cheese to authentic Italian gelato, you might need to ask your guide for their top picks!After our Chelsea Market tour segment, we’ll head to the Meatpacking District, a once-industrial warehouse district turned hip commercial area. Dip in and out of the spacious shops hinting at their former lives as slaughterhouses, or, following your tour, visit the world-renowned Whitney Museum of American Art and take a short walk to one of NYC’s most unusual river attractions, Little Island!",[],['Local guide'],"['Food and drink, souvenirs, tips and gratuities for the guide']",[],[],"Departure point10 Hudson Yards, Hudson Yards 10, Manhattan, New York, 10001Outside entrance to the High Line at 30th Street and 10th Avenue"
Private NYC Central Park 4 Hour Adventure Tour,"Escape the chaos of New York City…right in the middle of Manhattan! Tour Central Park with a local guide who will introduce you to the stories, historic sites, and natural beauty found throughout this urban green space. Your tour guide will fill you in on the park’s past as a thriving village of African Americans and immigrants and their eventual displacement during the formation of the landscape we see today. While evidence of this village is long gone, we’ll view other historic structures including beautiful Bethesda Terrace and the Women's Rights Pioneers Monument.Our Central Park walking tour will pass iconic artworks including some notable literary figures under the stately trees of The Mall and the mosaic-tiled Strawberry Fields circle, a tribute to singer-activist John Lennon.As we enjoy the variety of flora and fauna around The Lake and its picture-perfect Bow Bridge, you’ll finish up the tour happy knowing your ticket has directly contributed to conservation education!",[],['local guide'],"['Food and drink, souvenirs, tips and gratuities for the guide.']",[],[],"Departure point764 Doris C Freedman Pl, Doris C Freedman Pl 764, Manhattan, New York, 10019General William Tecumseh Sherman Monument in the center of Grand Army Plaza"
Private Transfer from LaGuardia Airport (LGA) to Brooklyn,"Take the worry out of your arrival to LaGuardia Airport (LGA) and pre-book a private transfer to suit your group size (up to 12 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan / minibus.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointLaGuardia Airport, Queens, East Elmhurst, New York, 11371The driver will be waiting in the arrivals hall, holding a nameboard"
NYC East Village Polish Food Tour,"This seasonal tour runs from September to May, the perfect time for stick to your ribs hearty samples. Enjoy a delicious 2-hour stroll through New York City's famous and colorful East Village, with its old world Eastern European eateries full of yummy pierogi, kielbasa, egg creams and baked goods.",[],['Food samples'],['Alcohol/smoking not offered/allowed nor smoking are available during the tour'],[],[],"Departure pointLower Manhattan, Manhattan, Lower Manhattan, New York, 10003Departure Point: Outside Little Poland"
New York City Greenwich Village 3 Hour Private Walking Tour,"Bob Dylan. Andy Warhol. Edgar Allen Poe. The list of legendary residents of New York City’s Greenwich Village goes on, and we’ll be exploring their legacies and the surprising fringe history of this vibrant neighborhood.You’ll start your walking tour in Washington Square, famed for its iconic Memorial Arch and less known for its early Native American village and later designation as “Little Africa”. As our tour sets off into the neighborhood, your guide will explain the cultural significance of Greenwich Village as a place where art and counterculture flourished. You’ll hear stories of street buskers, painters, and writers, both famous and obscure.You’ll also see firsthand the neighborhood’s transformation following years of gentrification and its struggle to preserve its history in the face of an expanding university.We’ll end at one of the neighborhood’s most significant landmarks, the Stonewall Inn, where you’ll learn about the riots that fueled the fight for LGBTQ rights.",[],['Local english speaking guide.'],"['food and drink, souvenirs, tips and gratuities for the guide.']",[],[],"Departure point29 Washington Square W, Washington Square W 29, Manhattan, New York, 10011Outside front entrance of Eleanor Roosevelt's Home"
2 HR - NYC Private Vintage Car Experience - Midtown & Downtown,"This is a completely immersive, private, historical experience of Downtown and Midtown Manhattan from the lens of the Jazz Age. Seated in the backseat of a vintage car, the trip is designed to evoke a nostalgic feeling for the vibrancy & history of NYC's roots. We provide the music, the costumes/props, and the magic! Each driver is dressed from the 1920's, and creates an educational, private and premium experience while visiting New York City.",[],['Private transportation'],['Gratuities'],[],[],"Departure point910 7th Ave, 7th Ave 910, Manhattan, New York, 10019Restaurant named Ella Mozzarella, please go in, have a seat and wait for the car to pull around!"
Day Spa in New York,"The massages offered below are given by experienced and licensed massage therapists only:Office Dweller Sitting long hours with your head moving forward an inch per year might be good for your wallet, but not your body. Let us help you release the tensions and remind your body what upright feels like.Weekend WarriorLet us rub those sore muscles after your workout, stretch the tight ones, speed up recovery of micro-tears in the tissues or more serious injuries. Something Old-Swedish-Deep Tissue-Sports-Pre-NatalBuddha Feeling stressed and anxious would be okay if not for all the trouble it causes to your body, mind and spirit. Let us help you experience bliss.TravelerPain from sitting and carrying luggage, jet-lag, overall stress of traveling… Let us handle it so you can focus on business, shopping or being a tourist.Something NewEsoterra House Massage combines techniques that are an effective blend of Myofascial Release, Craniosacral Therapy and Acupressure.",[],['Licensed massage therapist'],,[],[],"Departure point19 W 45th St, W 45th St 19, Manhattan, New York, 10036Take elevator to suite 501 on the 5th floor"
